id,phrase,meaning,category,level,example
1,spill the tea,가십이나 비밀을 털어놓다,SNS,초급,"She spilled the tea about her ex."
2,shoot the breeze,가볍게 수다 떨다,casual,초급,"We sat on the porch and shot the breeze."
3,throw some shade,돌려서 비난하다,casual,중급,"He threw some shade at his former boss."
4,keep it real,솔직함을 유지하다,daily,초급,"She always keeps it real with her friends."
5,roast someone hard,신랄하게 놀리다,casual,중급,"They roasted him hard for being late again."
6,talk trash about,험담을 하다,SNS,중급,"Don't talk trash about people behind their back."
7,come in clutch,결정적 순간에 도움이 되다,gaming,초급,"He came in clutch and saved the entire team."
8,crack me up,나를 빵 터지게 하다,casual,초급,"Her jokes always crack me up."
9,get your life,정신 차리고 제대로 해라,youth,중급,"You need to get your life together."
10,beat around the bush,둘러 말하다,daily,초급,"Stop beating around the bush and just tell me."
11,bend the rules,규칙을 살짝 어기다,daily,중급,"He bent the rules to help his friend get in."
12,that hits different,색다르게 느껴진다,casual,초급,"Hearing it live really hits different."
13,play it by ear,상황 봐가며 대처하다,daily,초급,"Let's just play it by ear this weekend."
14,blow off steam,스트레스를 해소하다,daily,초급,"I went jogging to blow off some steam."
15,break a leg,행운을 빌다(공연 전),casual,초급,"Before the show, everyone said 'Break a leg!'"
16,break the bank,너무 많은 돈을 쓰다,daily,중급,"That designer bag will break the bank."
17,break the internet,인터넷을 뒤흔들다,SNS,초급,"Her viral post nearly broke the internet."
18,by the book,원칙대로 하다,daily,초급,"He does everything strictly by the book."
19,chalk it up,~로 돌리다(원인/결과),daily,중급,"Let's chalk it up to experience."
20,count me out,난 빼줘,youth,초급,"If it's hiking at 5 AM, you can count me out."
21,cut to the chase,본론만 말하다,daily,초급,"Let’s cut to the chase and finalize the deal."
22,do a double take,두 번 쳐다보다(놀라서),casual,중급,"I did a double take when I saw her new hair."
23,down to earth,겸손하고 현실적인,casual,초급,"He’s really down to earth despite his success."
24,go down in flames,참패하다,casual,중급,"Their plan went down in flames."
25,drag on forever,끝날 기미가 없다,daily,중급,"That meeting dragged on forever."
26,draw a blank,기억이 안 나다,daily,초급,"I tried to recall her name but drew a blank."
