phrase,meaning,example
low-key #1,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #2,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #3,이전과 다르게 느껴지다,This song just hits different at night.
hit different #4,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #5,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #6,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #7,이전과 다르게 느껴지다,This song just hits different at night.
low-key #8,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #9,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #10,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #11,이전과 다르게 느껴지다,This song just hits different at night.
low-key #12,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #13,과시하다,He likes to flex his new watch.
hit different #14,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #15,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #16,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #17,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #18,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #19,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #20,과시하다,He likes to flex his new watch.
on fleek #21,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #22,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #23,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #24,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #25,거짓말,He said he met Beyoncé. That’s cap.
low-key #26,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #27,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #28,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #29,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #30,과시하다,He likes to flex his new watch.
flex #31,과시하다,He likes to flex his new watch.
